id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
929075e3-cf5df6-3f403e8-c9bfce2c,722,0,0.000000s,92.577000s,421.707567s,17349.122669s,59.632000s,0.000000s,Map,completed,0
8c423fe5-6b20cd79-3f403e8-d4d47238,101,0,74.937474s,93.859000s,26.112235s,634.386963s,8.886000s,0.000000s,MapReduce,completed,1
fe785e2a-971bfcfe-3f403e8-333f1fcc,455,0,0.000000s,94.100000s,306.081803s,12750.781771s,68.090000s,0.000000s,Map,completed,0
2b17dded-45221846-3f403e8-a3cd661a,1,0,25.163605s,94.829000s,100.730929s,68.765999s,68.766000s,0.000000s,Sort,completed,1
2496aa0a-3d866157-3f403e8-d1583c2d,1,0,88.364907s,95.216000s,8.337899s,6.015999s,6.016000s,0.000000s,Map,completed,1
a1253040-6cd407a6-3f403e8-254cb2b2,718,0,0.000000s,95.986000s,600.000000s,22815.937641s,67.847000s,0.000000s,Map,completed,0
de753686-fccf7448-3f403e8-bfe64d63,101,1,49.080392s,96.484000s,61.341099s,1583.556958s,32.530000s,3.702999s,MapReduce,completed,1
2c58b963-b5a8b22b-3f403e8-d3c85461,782,0,0.000000s,96.837000s,403.434702s,17639.930619s,62.395000s,0.000000s,Map,completed,0
f83df174-fc9ecfc1-3f403e8-5dca985f,827,0,0.000000s,97.104000s,600.000000s,22701.694562s,65.935000s,0.000000s,Map,completed,0
91808c23-e254422-3f403e8-7d5aaf2e,925,0,0.000000s,98.212000s,600.000000s,23355.179571s,63.625000s,0.000000s,Map,completed,0
fc64cb97-f269a4a8-3f403e8-dc2af70b,800,0,0.000000s,98.893000s,600.000000s,22885.458564s,64.579000s,0.000000s,Map,completed,0
a074baf5-494c4305-3f403e8-adf228b,686,0,0.000000s,99.089000s,600.000000s,22364.924665s,59.666000s,0.000000s,Map,completed,0
89e19186-60dfc520-3f403e8-35b243b0,101,0,71.450773s,100.559000s,38.035576s,1004.059954s,15.598000s,0.000000s,MapReduce,completed,1
f3961aa2-bedd902e-3f403e8-3ba38a2c,2,0,89.394271s,100.637000s,15.290982s,9.784998s,5.431000s,0.000000s,MapReduce,completed,1
d921940-b0fe747-3f403e8-e64aacb3,1,0,94.336487s,101.039000s,8.174455s,5.833000s,5.833000s,0.000000s,Map,completed,1
eb4251a7-e97e9ce8-3f403e8-57cf4dea,1,0,94.896106s,102.751000s,10.143462s,7.544000s,7.544000s,0.000000s,Map,completed,1
f7b676ed-bca8c248-3f403e8-5f33336f,1,0,99.531235s,103.199000s,4.316682s,2.950999s,2.951000s,0.000000s,Sort,completed,1
