10000	0	0	0
138	10000	1	0
139	138	3	4708160
10147	139	6	393400
20873	139	6	367700
21368	139	6	1377200
111998	139	6	187960
113849	139	6	126900
113850	139	6	16600
113851	139	6	85300
113852	139	6	122200
113853	139	6	68901
113854	139	6	46600
113855	139	6	57800
113856	139	6	27200
113857	139	6	49000
113858	139	6	75500
113859	139	6	5202
113860	139	6	52500
113861	139	6	68700
113862	139	6	34300
113863	139	6	30500
113864	139	6	34400
113865	139	6	3078
113866	139	6	43200
113867	139	6	34400
113868	139	6	5037
113869	139	6	13050
113870	139	6	5856
113871	139	6	1857
113872	139	6	0
123222	139	6	1900
123439	139	6	2040
123525	139	6	4330
123586	139	6	840
145481	139	6	624
145482	139	6	2400
145483	139	6	33200
145484	139	6	9850
145485	139	6	7950
145486	139	6	816
145487	139	6	3220
145488	139	6	3720
145489	139	6	4650
211	138	3	24164900
21594	211	12	0
111788	21594	6	1600
21761	211	5	7238819
10145	21761	6	4875532
21762	21761	6	18854
94774	21761	6	288732
111021	21761	6	292190
111024	21761	6	155271
111025	21761	6	39273
111030	21761	6	8016
111032	21761	6	12286
111035	21761	6	45766
111038	21761	6	34479
111040	21761	6	6587
111042	21761	6	26770
111043	21761	6	12154
111045	21761	6	17501
111048	21761	6	13665
111049	21761	6	26353
111050	21761	6	44313
111051	21761	6	11396
111052	21761	6	10845
111055	21761	6	21484
111056	21761	6	18316
111057	21761	6	8137
111058	21761	6	34110
111061	21761	6	19485
111067	21761	6	2466
111069	21761	6	11707
111079	21761	6	5560
111081	21761	6	11298
111082	21761	6	0
111095	21761	6	3122
111100	21761	6	9866
111101	21761	6	46734
111108	21761	7	4447
111109	21761	6	2419
111116	21761	6	17616
111119	21761	6	9400
111121	21761	6	32327
111123	21761	6	47595
111124	21761	6	9355
111128	21761	6	2549
111130	21761	6	6828
111133	21761	6	39374
111134	21761	6	1975
111137	21761	6	9749
111139	21761	6	16621
111140	21761	6	18372
111142	21761	6	4086
111150	21761	6	3961
111152	21761	6	450
111153	21761	6	2145
123477	21761	7	625
123582	21761	6	4959
144590	21761	6	4353
144883	21761	6	4365
144887	21761	6	3851
144889	21761	6	5396
144892	21761	6	452
144916	21761	6	7525
144917	21761	6	5514
21763	211	5	5547527
21265	21763	6	4077036
94857	21763	6	160991
111022	21763	6	19644
111027	21763	6	30016
111031	21763	6	89995
111033	21763	6	38773
111039	21763	6	96097
111041	21763	6	12358
111054	21763	6	33922
111062	21763	6	6135
111065	21763	6	15582
111072	21763	6	12943
111084	21763	6	35490
111085	21763	6	31000
111090	21763	6	10857
111103	21763	6	13243
111105	21763	6	21960
111113	21763	6	13336
111125	21763	6	14125
111126	21763	6	13261
111127	21763	6	0
111129	21763	6	13399
111136	21763	6	16845
144588	21763	6	1095
144880	21763	6	4053
144882	21763	6	613
144884	21763	6	1046
21764	211	5	4516361
10146	21764	6	185768
21210	21764	6	2043185
94287	21764	6	150920
111020	21764	6	591473
111023	21764	6	5983
111026	21764	6	131258
111029	21764	6	49743
123232	111029	8	7333
111034	21764	6	74219
111036	21764	6	12562
111037	21764	6	251081
111047	21764	6	9774
111053	21764	6	76403
144915	111053	8	5693
111059	21764	6	71000
111060	21764	6	10933
111063	21764	6	7133
111066	21764	6	21501
111071	21764	6	28808
111076	21764	6	3316
111087	21764	6	76729
111091	21764	6	14275
111099	21764	6	1337
111102	21764	6	18857
111112	21764	6	1217
111115	21764	6	3657
111117	21764	6	5031
111131	21764	6	7068
111141	21764	6	13285
111143	21764	6	0
111144	21764	6	2976
111147	21764	6	203
111148	21764	6	3278
111151	21764	6	1154
114842	21764	6	14767
120758	21764	6	7868
120765	21764	6	6528
120788	21764	6	3205
123201	21764	6	1215
123247	21764	6	3999
123478	21764	6	4734
144589	21764	6	6893
144591	21764	7	3666
144877	21764	6	41293
145623	144877	8	3666
144879	21764	6	7905
144885	21764	6	3441
144888	21764	7	515
21765	211	5	507626
20914	21765	6	200525
111073	21765	6	25551
111080	21765	6	106153
111138	21765	6	19160
144893	21765	6	637
144894	21765	6	557
21766	211	5	365894
10144	21766	6	358222
21767	211	5	1644642
20774	21767	6	1203873
111046	21767	6	24905
111075	21767	6	13257
111078	21767	6	20006
111086	21767	6	13044
111094	21767	6	2304
111096	21767	6	4888
111097	21767	6	1995
111098	21767	6	13040
111120	21767	6	21122
111132	21767	6	19577
111146	21767	6	2034
111149	21767	7	450
144878	21767	6	3278
144891	21767	6	1246
21768	211	5	229675
20839	21768	6	27481
144914	20839	8	0
21456	21768	6	127532
111074	21768	6	887
111107	21768	6	4112
111114	21768	6	2068
111145	21768	6	5849
21769	211	5	2346400
21753	21769	6	4400
21770	21769	6	1696062
144913	21770	8	14271
111028	21769	6	25196
111044	21769	6	68248
111064	21769	6	15386
111068	21769	6	16476
111070	21769	6	15388
111077	21769	6	2721
111083	21769	6	1336
111088	21769	6	9536
111089	21769	6	401
111092	21769	6	11547
111093	21769	6	65814
111104	21769	6	33000
111106	21769	6	108022
111110	21769	6	316
111111	21769	6	36958
111122	21769	6	5283
111135	21769	6	3748
144881	21769	6	7459
144886	21769	6	4415
144890	21769	6	757
829	138	0	0
830	138	0	0
10029	138	12	596
10148	10029	6	120
10030	138	3	909389
10149	10030	6	42284
10150	10030	6	88271
91657	10030	6	27949
91663	10030	6	3372
91667	10030	7	0
91678	10030	6	1131
112028	10030	6	4500
20739	138	3	7059653
20740	20739	6	0
20788	20739	6	8265
20913	20739	11	0
21263	20739	6	39003
21286	20739	6	307643
21315	20739	6	1300
21360	20739	6	21792
21437	20739	11	0
21458	20739	6	12879
21517	20739	6	27420
29289	20739	6	9809
94010	20739	6	25000
94048	20739	6	72967
94067	20739	6	0
94076	20739	6	10600
94078	20739	6	10025
94085	20739	6	3885
114065	20739	6	0
114066	20739	11	0
114067	20739	7	0
114068	20739	6	6551
114069	20739	6	0
114070	20739	6	0
114071	20739	6	0
114072	20739	6	0
20747	138	3	161785
20749	20747	6	1100
20860	138	3	197773
20861	20860	6	37708
20915	138	3	538148
20916	20915	6	78190
114184	20915	6	0
114185	20915	6	0
114186	20915	11	0
114187	20915	6	6811
114188	20915	6	0
114189	20915	6	979
21330	138	3	267000
21332	21330	6	26181
111924	21330	2	8880
112175	21330	6	1200
112176	21330	6	5999
112177	21330	6	2660
112178	21330	6	461
112179	21330	6	204
21556	138	3	243304
21557	21556	6	35901
21558	21556	11	0
114483	21556	6	2000
114484	21556	6	0
114485	21556	6	20138
114486	21556	6	13167
21572	138	3	110470
21573	21572	6	5311
104638	21572	6	50311
112942	21572	2	65866
21574	138	3	21338
21575	21574	6	5445
111830	21574	6	2194
21578	138	3	72191
21579	21578	6	25400
21580	138	3	111000
91334	21580	5	54595
116744	91334	6	7000
91356	21580	5	6616
116745	91356	7	0
91413	21580	5	8300
113056	91413	6	6371
116728	21580	5	36196
21581	116728	6	4645
21582	138	3	10084
21583	21582	11	0
104639	21582	6	820
21584	138	3	268767
21585	21584	6	97579
113847	21584	6	3000
113848	21584	6	0
21589	138	3	21186
21590	21589	6	12676
91407	21589	7	391
107916	21589	6	271
21599	138	3	106322
21600	21599	6	23658
91778	21599	6	6000
91784	21599	6	3000
98549	21599	7	1000
21601	138	3	12273
21602	21601	6	4492
98539	138	3	2210
21588	98539	6	1789
98542	138	3	2179
98543	98542	6	581
101650	138	12	1384
101651	101650	6	524
101652	101650	6	426
101653	101650	6	483
